Country;iso3name;iso3code
Albania;Albania;ALB
Algeria;Algeria;DZA
Angola;Angola;AGO
Anguilla;Anguilla;AIA
Argentina;Argentina;ARG
Armenia;Armenia;ARM
Australia;Australia;AUS
Austria;Austria;AUT
Bahamas;Bahamas;BHS
Bangladesh;Bangladesh;BGD
Belarus;Belarus;BLR
Belgium;Belgium;BEL
Benin;Benin;BEN
Bolivia;Bolivia;BOL
Bolivia (Plurinational State of);Bolivia;BOL
Bosnia and Herzegovina;Bosnia and Herzegovina;BIH
Botswana;Botswana;BWA
Brazil;Brazil;BRA
Bulgaria;Bulgaria;BGR
Burkina Faso;Burkina Faso;BFA
Burundi;Burundi;BDI
Cambodia;Cambodia;KHM
Cameroon;Cameroon;CMR
Canada;Canada;CAN
Central African Republic;Central African Republic;CAF
Chad;Chad;TCD
Chile;Chile;CHL
China;China;CHN
Colombia;Colombia;COL
Congo;Congo;COG
Costa Rica;Costa Rica;CRI
Croatia;Croatia;HRV
Cte d'Ivoire;Cote d'Ivoire;CIV
Cuba;Cuba;CUB
Cyprus;Cyprus;CYP
Czech Republic;Czechia;CZE
Democratic Republic of the Congo;congo;COG
Denmark;Denmark;DNK
Dominican Republic;Dominican Republic;DOM
Ecuador;Ecuador;ECU
Egypt;Egypt;EGY
El Salvador;El Salvador;SLV
Estonia;Estonia;EST
Finland;Finland;FIN
France;France;FRA
Georgia;Georgia;GEO
Germany;Germany;DEU
Ghana;Ghana;GHA
Greece;Greece;GRC
Greenland;Greenland;GRL
Guatemala;Guatemala;GTM
Guinea;Guinea;GIN
Guyana;Guyana;GUY
Haiti;Haiti;HTI
Honduras;Honduras;HND
Hong Kong;Hong Kong;HKG
Hungary;Hungary;HUN
Iceland;Iceland;ISL
India;India;IND
Indonesia;Indonesia;IDN
Iraq;Iraq;IRQ
Ireland;Ireland;IRL
Israel;Israel;ISR
Italy;Italy;ITA
Ivory Coast;Cote d'Ivoire;CIV
Jamaica;Jamaica;JAM
Japan;Japan;JPN
Jordan;Jordan;JOR
Kazakhstan;Kazakstan;KAZ
Kenya;Kenya;KEN
Korea (Republic of);Korea, Republic of;KOR
Kyrgyzstan;Kyrgyzstan;KGZ
Latvia;Latvia;LVA
Lebanon;Lebanon;LBN
Lithuania;Lithuania;LTU
Luxembourg;Luxembourg;LUX
Macao;Macao;MAC
Macedonia;Macedonia, The Former Yugoslav Republic Of;MKD
Malawi;Malawi;MWI
Malaysia;Malaysia;MYS
Maldives;Maldives;MDV
Mali;Mali;MLI
Mauritius;Mauritius;MUS
Mexico;Mexico;MEX
Moldova;Moldova, Republic of;MDA
Mongolia;Mongolia;MNG
Montenegro;Montenegro;MNE
Morocco;Morocco;MAR
Namibia;Namibia;NAM
Nepal;Nepal;NPL
Netherlands;Netherlands;NLD
New Zealand;New Zealand;NZL
Nicaragua;Nicaragua;NIC
Nigeria;Nigeria;NGA
North Korea;Korea, Democratic People's Republic of;PRK
Norway;Norway;NOR
Oman;Oman;OMN
Pakistan;Pakistan;PAK
Palestinian Territory;Palestinian Territory, Occupied;PSE
Panama;Panama;PAN
Papua New Guinea;Papua New Guinea;PNG
Paraguay;Paraguay;PRY
Peru;Peru;PER
Philippines;Philippines;PHL
Poland;Poland;POL
Portugal;Portugal;PRT
Puerto Rico;Puerto Rico;PRI
Qatar;Qatar;QAT
Republic of the Congo;Congo;COG
Romania;Romania;ROU
Russia;Russia Federation;RUS
Russian Federation;Russia Federation;RUS
Rwanda;Rwanda;RWA
Saint Vincent and the Grenadines;Saint Vincent and the Grenadines;VCT
Sao Tome and Principe;Sao Tome and Principe;STP
Saudi Arabia;Saudi Arabia;SAU
Senegal;Senegal;SEN
Serbia;Republic of Serbia;SRB
Singapore;Singapore;SGP
Slovakia;Slovakia;SVK
Slovenia;Slovenia;SVN
Solomon Islands;Solomon Islands;SLB
South Africa;South Africa;ZAF
South Korea;Korea, Republic of;KOR
South Sudan;South Sudan;SSD
Spain;Spain;ESP
Sri Lanka;Sri Lanka;LKA
Sudan;Sudan;SDN
Sweden;Sweden;SWE
Switzerland;Switzerland;CHE
Syria;Syrian Arab Republic;SYR
Taiwan;Taiwan, Province of China;TWN
Taiwan (Province of China);Taiwan, Province of China;TWN
Tajikistan;Tajikistan;TJK
Tanzania;Tanzania, United Republic of;TZA
Thailand;Thailand;THA
Tunisia;Tunisia;TUN
Turkey;Turkey;TUR
Turkmenistan;Turkmenistan;TKM
Uganda;Uganda;UGA
Ukraine;Ukraine;UKR
United Arab Emirates;United Arab Emirates;ARE
United Kingdom;United Kingdom;GBR
United States;United States;USA
Uruguay;Uruguay;URY
Venezuela;Venezuela;VEN
Venezuela (Bolivarian Republic of);Venezuela;VEN
Viet Nam;Vietnam;VNM
Vietnam;Vietnam;VNM
Zambia;Zambia;ZMB
Zimbabwe;Zimbabwe;ZWE
